StationId,date,event_count,total_abnormal_minutes,max_single_event_minutes,stopping_event_count,distinct_alarm_code_count,alarm_codes,alarm_descriptions,top_severity,first_event_time,last_event_time,health_label,summary_hint
2304519,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304519; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304520,2016-06-09,1,70,70,1,1,1005,Availability - low wind,ALARM,11:20,12:30,ALARM,2016-06-09 turbine 2304520; 1 abnormal events; total abnormal duration 70 min; 1 stopping events; alarm codes: 1005; active window 11:20 to 12:30; health label: ALARM
2304520,2016-06-11,1,2150,2150,0,1,63002,Unknown alarm,ATTENTION,20:30,08:20,ATTENTION,2016-06-11 turbine 2304520; 1 abnormal events; total abnormal duration 2150 min; alarm codes: 63002; active window 20:30 to 08:20; health label: ATTENTION
2304520,2016-06-13,1,25190,25190,1,1,63002,Unknown alarm,ALARM,12:10,00:00,ALARM,2016-06-13 turbine 2304520; 1 abnormal events; total abnormal duration 25190 min; 1 stopping events; alarm codes: 63002; active window 12:10 to 00:00; health label: ALARM
2304521,2016-06-02,1,10,10,0,1,1001,Unknown alarm,INFO,10:00,10:10,INFO,2016-06-02 turbine 2304521; 1 abnormal events; total abnormal duration 10 min; alarm codes: 1001; active window 10:00 to 10:10; health label: INFO
2304521,2016-06-17,1,40,40,0,1,1015,Unknown alarm,INFO,10:10,10:50,INFO,2016-06-17 turbine 2304521; 1 abnormal events; total abnormal duration 40 min; alarm codes: 1015; active window 10:10 to 10:50; health label: INFO
2304521,2016-06-19,3,1670,1630,2,3,10101 | 1010 | 3173,"Stopped, untwisting cables | Unknown alarm",ALARM,07:00,11:40,ALARM,2016-06-19 turbine 2304521; 3 abnormal events; total abnormal duration 1670 min; 2 stopping events; alarm codes: 10101 | 1010 | 3173; active window 07:00 to 11:40; health label: ALARM
2304521,2016-06-20,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:00,13:00,ALARM,2016-06-20 turbine 2304521; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:00 to 13:00; health label: ALARM
2304521,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:10,13:10,ALARM,2016-06-23 turbine 2304521; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:10 to 13:10; health label: ALARM
2304521,2016-06-24,3,6900,6900,3,2,10105 | 8188,"Stopped, untwisting cables | Unknown alarm",ALARM,14:50,11:20,ALARM,2016-06-24 turbine 2304521; 3 abnormal events; total abnormal duration 6900 min; 3 stopping events; alarm codes: 10105 | 8188; active window 14:50 to 11:20; health label: ALARM
2304521,2016-06-29,3,1860,1600,1,1,8108,Unknown alarm,ALARM,14:20,00:00,ALARM,2016-06-29 turbine 2304521; 3 abnormal events; total abnormal duration 1860 min; 1 stopping events; alarm codes: 8108; active window 14:20 to 00:00; health label: ALARM
2304522,2016-06-01,1,390,390,1,1,1001,Unknown alarm,ALARM,06:50,13:20,ALARM,2016-06-01 turbine 2304522; 1 abnormal events; total abnormal duration 390 min; 1 stopping events; alarm codes: 1001; active window 06:50 to 13:20; health label: ALARM
2304522,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:20,13:20,ALARM,2016-06-23 turbine 2304522; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:20 to 13:20; health label: ALARM
2304522,2016-06-30,1,50,50,0,1,3171,Unknown alarm,INFO,05:00,05:50,INFO,2016-06-30 turbine 2304522; 1 abnormal events; total abnormal duration 50 min; alarm codes: 3171; active window 05:00 to 05:50; health label: INFO
2304523,2016-06-09,1,100,100,1,1,1005,Availability - low wind,ALARM,08:20,10:00,ALARM,2016-06-09 turbine 2304523; 1 abnormal events; total abnormal duration 100 min; 1 stopping events; alarm codes: 1005; active window 08:20 to 10:00; health label: ALARM
2304523,2016-06-10,1,230,230,1,1,1005,Availability - low wind,ALARM,10:10,14:00,ALARM,2016-06-10 turbine 2304523; 1 abnormal events; total abnormal duration 230 min; 1 stopping events; alarm codes: 1005; active window 10:10 to 14:00; health label: ALARM
2304523,2016-06-30,1,10,10,0,1,5113,Unknown alarm,INFO,05:00,05:10,INFO,2016-06-30 turbine 2304523; 1 abnormal events; total abnormal duration 10 min; alarm codes: 5113; active window 05:00 to 05:10; health label: INFO
2304524,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:20,13:20,ALARM,2016-06-23 turbine 2304524; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:20 to 13:20; health label: ALARM
2304524,2016-06-26,1,20,20,0,1,15111,Unknown alarm,INFO,08:40,09:00,INFO,2016-06-26 turbine 2304524; 1 abnormal events; total abnormal duration 20 min; alarm codes: 15111; active window 08:40 to 09:00; health label: INFO
2304524,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304524; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304525,2016-06-03,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,05:00,05:00,ALARM,2016-06-03 turbine 2304525; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 05:00 to 05:00; health label: ALARM
2304525,2016-06-05,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-05 turbine 2304525; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304525,2016-06-10,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-10 turbine 2304525; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304525,2016-06-16,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:10,07:10,ALARM,2016-06-16 turbine 2304525; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:10 to 07:10; health label: ALARM
2304525,2016-06-21,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:10,07:10,ALARM,2016-06-21 turbine 2304525; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:10 to 07:10; health label: ALARM
2304525,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:30,13:30,ALARM,2016-06-23 turbine 2304525; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:30 to 13:30; health label: ALARM
2304525,2016-06-26,1,0,0,1,1,3130,Pitch lubrication,ALARM,07:10,07:10,ALARM,2016-06-26 turbine 2304525; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 07:10 to 07:10; health label: ALARM
2304525,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304525; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304526,2016-06-05,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-05 turbine 2304526; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304526,2016-06-10,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-10 turbine 2304526; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304526,2016-06-16,1,0,0,1,1,3130,Pitch lubrication,ALARM,13:50,13:50,ALARM,2016-06-16 turbine 2304526; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 13:50 to 13:50; health label: ALARM
2304526,2016-06-21,1,0,0,1,1,3130,Pitch lubrication,ALARM,13:50,13:50,ALARM,2016-06-21 turbine 2304526; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 13:50 to 13:50; health label: ALARM
2304526,2016-06-26,1,0,0,1,1,3130,Pitch lubrication,ALARM,13:50,13:50,ALARM,2016-06-26 turbine 2304526; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 13:50 to 13:50; health label: ALARM
2304526,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304526; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304527,2016-06-02,1,0,0,1,1,3130,Pitch lubrication,ALARM,00:30,00:30,ALARM,2016-06-02 turbine 2304527; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 00:30 to 00:30; health label: ALARM
2304527,2016-06-07,2,70,70,2,2,3130 | 1005,Pitch lubrication | Availability - low wind,ALARM,00:30,10:30,ALARM,2016-06-07 turbine 2304527; 2 abnormal events; total abnormal duration 70 min; 2 stopping events; alarm codes: 3130 | 1005; active window 00:30 to 10:30; health label: ALARM
2304527,2016-06-12,1,0,0,1,1,3130,Pitch lubrication,ALARM,00:30,00:30,ALARM,2016-06-12 turbine 2304527; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 00:30 to 00:30; health label: ALARM
2304527,2016-06-17,1,0,0,1,1,3130,Pitch lubrication,ALARM,17:10,17:10,ALARM,2016-06-17 turbine 2304527; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 17:10 to 17:10; health label: ALARM
2304527,2016-06-22,1,0,0,1,1,3130,Pitch lubrication,ALARM,17:10,17:10,ALARM,2016-06-22 turbine 2304527; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 17:10 to 17:10; health label: ALARM
2304527,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,14:40,14:40,ALARM,2016-06-23 turbine 2304527; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 14:40 to 14:40; health label: ALARM
2304527,2016-06-27,1,0,0,1,1,3130,Pitch lubrication,ALARM,18:50,18:50,ALARM,2016-06-27 turbine 2304527; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 18:50 to 18:50; health label: ALARM
2304527,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304527; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304528,2016-06-05,1,0,0,1,1,3130,Pitch lubrication,ALARM,18:50,18:50,ALARM,2016-06-05 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 18:50 to 18:50; health label: ALARM
2304528,2016-06-10,1,0,0,1,1,3130,Pitch lubrication,ALARM,18:50,18:50,ALARM,2016-06-10 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 18:50 to 18:50; health label: ALARM
2304528,2016-06-16,1,0,0,1,1,3130,Pitch lubrication,ALARM,12:10,12:10,ALARM,2016-06-16 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 12:10 to 12:10; health label: ALARM
2304528,2016-06-21,1,0,0,1,1,3130,Pitch lubrication,ALARM,12:10,12:10,ALARM,2016-06-21 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 12:10 to 12:10; health label: ALARM
2304528,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,15:30,15:30,ALARM,2016-06-23 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 15:30 to 15:30; health label: ALARM
2304528,2016-06-26,1,0,0,1,1,3130,Pitch lubrication,ALARM,12:10,12:10,ALARM,2016-06-26 turbine 2304528; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 12:10 to 12:10; health label: ALARM
2304528,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304528; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304529,2016-06-01,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-01 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-03,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,05:30,05:30,ALARM,2016-06-03 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 05:30 to 05:30; health label: ALARM
2304529,2016-06-06,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-06 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-11,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-11 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-16,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-16 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-21,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-21 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-22,1,180,180,0,1,1001,Unknown alarm,ATTENTION,10:20,13:20,ATTENTION,2016-06-22 turbine 2304529; 1 abnormal events; total abnormal duration 180 min; alarm codes: 1001; active window 10:20 to 13:20; health label: ATTENTION
2304529,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,13:40,13:40,ALARM,2016-06-23 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 13:40 to 13:40; health label: ALARM
2304529,2016-06-26,1,0,0,1,1,3130,Pitch lubrication,ALARM,20:30,20:30,ALARM,2016-06-26 turbine 2304529; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 3130; active window 20:30 to 20:30; health label: ALARM
2304529,2016-06-30,1,20,20,0,1,5113,Unknown alarm,INFO,05:00,05:20,INFO,2016-06-30 turbine 2304529; 1 abnormal events; total abnormal duration 20 min; alarm codes: 5113; active window 05:00 to 05:20; health label: INFO
2304530,2016-06-04,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,18:30,18:30,ALARM,2016-06-04 turbine 2304530; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 18:30 to 18:30; health label: ALARM
2304530,2016-06-23,1,0,0,1,1,10105,"Stopped, untwisting cables",ALARM,15:20,15:20,ALARM,2016-06-23 turbine 2304530; 1 abnormal events; total abnormal duration 0 min; 1 stopping events; alarm codes: 10105; active window 15:20 to 15:20; health label: ALARM
2304530,2016-06-30,1,10,10,0,1,5113,Unknown alarm,INFO,05:00,05:10,INFO,2016-06-30 turbine 2304530; 1 abnormal events; total abnormal duration 10 min; alarm codes: 5113; active window 05:00 to 05:10; health label: INFO
