event_id,StationId,start_time,end_time,duration_min,rows,alarm_code_mode,alarm_description,stopping_alarm,date,severity_level,severity_text
1,2304510,2016-06-02 07:10:00,2016-06-02 09:00:00,110,12,1001,Unknown alarm,0,2016-06-02,2,ATTENTION
2,2304510,2016-06-04 05:20:00,2016-06-04 07:50:00,150,16,3411,Unknown alarm,0,2016-06-04,2,ATTENTION
3,2304510,2016-06-19 05:20:00,2016-06-19 05:30:00,10,2,3411,Unknown alarm,0,2016-06-19,1,INFO
4,2304510,2016-06-23 13:20:00,2016-06-23 13:20:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
5,2304510,2016-06-30 05:00:00,2016-06-30 05:10:00,10,2,5113,Unknown alarm,0,2016-06-30,1,INFO
6,2304511,2016-06-02 09:20:00,2016-06-02 09:30:00,10,2,1001,Unknown alarm,0,2016-06-02,1,INFO
7,2304511,2016-06-23 14:50:00,2016-06-23 14:50:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
8,2304511,2016-06-30 05:00:00,2016-06-30 06:20:00,80,9,13400,Unknown alarm,0,2016-06-30,2,ATTENTION
9,2304512,2016-06-23 13:40:00,2016-06-23 13:40:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
10,2304512,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,3173,Unknown alarm,0,2016-06-30,2,ATTENTION
11,2304513,2016-06-14 05:20:00,2016-06-14 05:20:00,0,1,3413,Unknown alarm,0,2016-06-14,1,INFO
12,2304513,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
13,2304513,2016-06-24 05:20:00,2016-06-24 05:30:00,10,2,3412,Unknown alarm,0,2016-06-24,1,INFO
14,2304513,2016-06-29 13:50:00,2016-06-29 14:20:00,30,4,3173,Unknown alarm,0,2016-06-29,1,INFO
15,2304513,2016-06-29 16:40:00,2016-06-30 04:50:00,730,74,64000,Unknown alarm,0,2016-06-29,2,ATTENTION
16,2304513,2016-06-30 05:20:00,2016-06-30 14:00:00,520,53,3118,Unknown alarm,0,2016-06-30,2,ATTENTION
17,2304513,2016-06-30 17:00:00,2016-07-01 00:00:00,420,43,63027,Unknown alarm,0,2016-06-30,2,ATTENTION
18,2304514,2016-06-04 05:20:00,2016-06-04 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-04,3,ALARM
19,2304514,2016-06-09 05:20:00,2016-06-09 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-09,3,ALARM
20,2304514,2016-06-14 05:20:00,2016-06-14 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-14,3,ALARM
21,2304514,2016-06-19 05:20:00,2016-06-19 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-19,3,ALARM
22,2304514,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
23,2304514,2016-06-24 05:20:00,2016-06-24 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-24,3,ALARM
24,2304514,2016-06-29 05:20:00,2016-06-29 05:20:00,0,1,3130,Pitch lubrication,1,2016-06-29,3,ALARM
25,2304514,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,9303,Unknown alarm,0,2016-06-30,2,ATTENTION
26,2304515,2016-06-01 08:40:00,2016-06-01 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-01,3,ALARM
27,2304515,2016-06-06 08:40:00,2016-06-06 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-06,3,ALARM
28,2304515,2016-06-11 08:40:00,2016-06-11 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-11,3,ALARM
29,2304515,2016-06-16 10:20:00,2016-06-16 10:20:00,0,1,3130,Pitch lubrication,1,2016-06-16,3,ALARM
30,2304515,2016-06-21 10:20:00,2016-06-21 10:20:00,0,1,3130,Pitch lubrication,1,2016-06-21,3,ALARM
31,2304515,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
32,2304515,2016-06-26 10:20:00,2016-06-26 10:20:00,0,1,3130,Pitch lubrication,1,2016-06-26,3,ALARM
33,2304515,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
34,2304516,2016-06-04 07:00:00,2016-06-04 07:00:00,0,1,3130,Pitch lubrication,1,2016-06-04,3,ALARM
35,2304516,2016-06-09 07:00:00,2016-06-09 07:00:00,0,1,3130,Pitch lubrication,1,2016-06-09,3,ALARM
36,2304516,2016-06-14 07:00:00,2016-06-14 07:00:00,0,1,3130,Pitch lubrication,1,2016-06-14,3,ALARM
37,2304516,2016-06-19 07:00:00,2016-06-19 07:00:00,0,1,3130,Pitch lubrication,1,2016-06-19,3,ALARM
38,2304516,2016-06-23 13:20:00,2016-06-23 13:20:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
39,2304516,2016-06-24 07:00:00,2016-06-24 07:00:00,0,1,3130,Pitch lubrication,1,2016-06-24,3,ALARM
40,2304516,2016-06-29 07:00:00,2016-06-29 07:00:00,0,1,3130,Pitch lubrication,1,2016-06-29,3,ALARM
41,2304516,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
42,2304517,2016-06-03 12:00:00,2016-06-03 12:00:00,0,1,3130,Pitch lubrication,1,2016-06-03,3,ALARM
43,2304517,2016-06-08 12:00:00,2016-06-08 12:00:00,0,1,3130,Pitch lubrication,1,2016-06-08,3,ALARM
44,2304517,2016-06-13 12:00:00,2016-06-13 12:00:00,0,1,3130,Pitch lubrication,1,2016-06-13,3,ALARM
45,2304517,2016-06-18 12:00:00,2016-06-18 12:00:00,0,1,3130,Pitch lubrication,1,2016-06-18,3,ALARM
46,2304517,2016-06-23 12:00:00,2016-06-23 12:00:00,0,1,3130,Pitch lubrication,1,2016-06-23,3,ALARM
47,2304517,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
48,2304517,2016-06-28 12:00:00,2016-06-28 12:00:00,0,1,3130,Pitch lubrication,1,2016-06-28,3,ALARM
49,2304517,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,3171,Unknown alarm,0,2016-06-30,2,ATTENTION
50,2304518,2016-06-01 08:40:00,2016-06-01 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-01,3,ALARM
51,2304518,2016-06-06 08:40:00,2016-06-06 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-06,3,ALARM
52,2304518,2016-06-11 08:40:00,2016-06-11 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-11,3,ALARM
53,2304518,2016-06-16 08:40:00,2016-06-16 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-16,3,ALARM
54,2304518,2016-06-21 08:40:00,2016-06-21 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-21,3,ALARM
55,2304518,2016-06-23 16:10:00,2016-06-23 16:10:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
56,2304518,2016-06-26 08:40:00,2016-06-26 08:40:00,0,1,3130,Pitch lubrication,1,2016-06-26,3,ALARM
57,2304518,2016-06-28 07:40:00,2016-06-28 12:50:00,310,32,1005,Unknown alarm,1,2016-06-28,3,ALARM
58,2304518,2016-06-30 05:00:00,2016-06-30 06:00:00,60,7,3173,Unknown alarm,0,2016-06-30,2,ATTENTION
59,2304519,2016-06-02 03:40:00,2016-06-02 03:40:00,0,1,3130,Pitch lubrication,1,2016-06-02,3,ALARM
60,2304519,2016-06-07 03:40:00,2016-06-07 03:40:00,0,1,3130,Pitch lubrication,1,2016-06-07,3,ALARM
61,2304519,2016-06-12 03:40:00,2016-06-12 03:40:00,0,1,3130,Pitch lubrication,1,2016-06-12,3,ALARM
62,2304519,2016-06-17 17:00:00,2016-06-17 17:00:00,0,1,3130,Pitch lubrication,1,2016-06-17,3,ALARM
63,2304519,2016-06-22 17:00:00,2016-06-22 17:00:00,0,1,3130,Pitch lubrication,1,2016-06-22,3,ALARM
64,2304519,2016-06-23 13:00:00,2016-06-23 13:00:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
65,2304519,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
66,2304520,2016-06-09 11:20:00,2016-06-09 12:30:00,70,8,1005,Availability - low wind,1,2016-06-09,3,ALARM
67,2304520,2016-06-11 20:30:00,2016-06-13 08:20:00,2150,216,63002,Unknown alarm,0,2016-06-11,2,ATTENTION
68,2304520,2016-06-13 12:10:00,2016-07-01 00:00:00,25190,2520,63002,Unknown alarm,1,2016-06-13,3,ALARM
69,2304521,2016-06-02 10:00:00,2016-06-02 10:10:00,10,2,1001,Unknown alarm,0,2016-06-02,1,INFO
70,2304521,2016-06-17 10:10:00,2016-06-17 10:50:00,40,5,1015,Unknown alarm,0,2016-06-17,1,INFO
71,2304521,2016-06-19 07:00:00,2016-06-19 07:10:00,10,2,10101,"Stopped, untwisting cables",1,2016-06-19,3,ALARM
72,2304521,2016-06-19 07:40:00,2016-06-19 08:10:00,30,4,1010,"Stopped, untwisting cables",1,2016-06-19,3,ALARM
73,2304521,2016-06-19 08:30:00,2016-06-20 11:40:00,1630,164,3173,Unknown alarm,0,2016-06-19,2,ATTENTION
74,2304521,2016-06-20 13:00:00,2016-06-20 13:00:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-20,3,ALARM
75,2304521,2016-06-23 13:10:00,2016-06-23 13:10:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
76,2304521,2016-06-24 14:50:00,2016-06-24 14:50:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-24,3,ALARM
77,2304521,2016-06-24 16:00:00,2016-06-24 16:00:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-24,3,ALARM
78,2304521,2016-06-24 16:20:00,2016-06-29 11:20:00,6900,691,8188,Unknown alarm,1,2016-06-24,3,ALARM
79,2304521,2016-06-29 14:20:00,2016-06-29 16:20:00,120,13,8108,Unknown alarm,0,2016-06-29,2,ATTENTION
80,2304521,2016-06-29 16:50:00,2016-06-29 19:10:00,140,15,8108,Unknown alarm,0,2016-06-29,2,ATTENTION
81,2304521,2016-06-29 21:20:00,2016-07-01 00:00:00,1600,161,8108,Unknown alarm,1,2016-06-29,3,ALARM
82,2304522,2016-06-01 06:50:00,2016-06-01 13:20:00,390,40,1001,Unknown alarm,1,2016-06-01,3,ALARM
83,2304522,2016-06-23 13:20:00,2016-06-23 13:20:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
84,2304522,2016-06-30 05:00:00,2016-06-30 05:50:00,50,6,3171,Unknown alarm,0,2016-06-30,1,INFO
85,2304523,2016-06-09 08:20:00,2016-06-09 10:00:00,100,11,1005,Availability - low wind,1,2016-06-09,3,ALARM
86,2304523,2016-06-10 10:10:00,2016-06-10 14:00:00,230,24,1005,Availability - low wind,1,2016-06-10,3,ALARM
87,2304523,2016-06-30 05:00:00,2016-06-30 05:10:00,10,2,5113,Unknown alarm,0,2016-06-30,1,INFO
88,2304524,2016-06-23 13:20:00,2016-06-23 13:20:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
89,2304524,2016-06-26 08:40:00,2016-06-26 09:00:00,20,3,15111,Unknown alarm,0,2016-06-26,1,INFO
90,2304524,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
91,2304525,2016-06-03 05:00:00,2016-06-03 05:00:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-03,3,ALARM
92,2304525,2016-06-05 20:30:00,2016-06-05 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-05,3,ALARM
93,2304525,2016-06-10 20:30:00,2016-06-10 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-10,3,ALARM
94,2304525,2016-06-16 07:10:00,2016-06-16 07:10:00,0,1,3130,Pitch lubrication,1,2016-06-16,3,ALARM
95,2304525,2016-06-21 07:10:00,2016-06-21 07:10:00,0,1,3130,Pitch lubrication,1,2016-06-21,3,ALARM
96,2304525,2016-06-23 13:30:00,2016-06-23 13:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
97,2304525,2016-06-26 07:10:00,2016-06-26 07:10:00,0,1,3130,Pitch lubrication,1,2016-06-26,3,ALARM
98,2304525,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
99,2304526,2016-06-05 20:30:00,2016-06-05 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-05,3,ALARM
100,2304526,2016-06-10 20:30:00,2016-06-10 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-10,3,ALARM
101,2304526,2016-06-16 13:50:00,2016-06-16 13:50:00,0,1,3130,Pitch lubrication,1,2016-06-16,3,ALARM
102,2304526,2016-06-21 13:50:00,2016-06-21 13:50:00,0,1,3130,Pitch lubrication,1,2016-06-21,3,ALARM
103,2304526,2016-06-26 13:50:00,2016-06-26 13:50:00,0,1,3130,Pitch lubrication,1,2016-06-26,3,ALARM
104,2304526,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
105,2304527,2016-06-02 00:30:00,2016-06-02 00:30:00,0,1,3130,Pitch lubrication,1,2016-06-02,3,ALARM
106,2304527,2016-06-07 00:30:00,2016-06-07 00:30:00,0,1,3130,Pitch lubrication,1,2016-06-07,3,ALARM
107,2304527,2016-06-07 09:20:00,2016-06-07 10:30:00,70,8,1005,Availability - low wind,1,2016-06-07,3,ALARM
108,2304527,2016-06-12 00:30:00,2016-06-12 00:30:00,0,1,3130,Pitch lubrication,1,2016-06-12,3,ALARM
109,2304527,2016-06-17 17:10:00,2016-06-17 17:10:00,0,1,3130,Pitch lubrication,1,2016-06-17,3,ALARM
110,2304527,2016-06-22 17:10:00,2016-06-22 17:10:00,0,1,3130,Pitch lubrication,1,2016-06-22,3,ALARM
111,2304527,2016-06-23 14:40:00,2016-06-23 14:40:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
112,2304527,2016-06-27 18:50:00,2016-06-27 18:50:00,0,1,3130,Pitch lubrication,1,2016-06-27,3,ALARM
113,2304527,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
114,2304528,2016-06-05 18:50:00,2016-06-05 18:50:00,0,1,3130,Pitch lubrication,1,2016-06-05,3,ALARM
115,2304528,2016-06-10 18:50:00,2016-06-10 18:50:00,0,1,3130,Pitch lubrication,1,2016-06-10,3,ALARM
116,2304528,2016-06-16 12:10:00,2016-06-16 12:10:00,0,1,3130,Pitch lubrication,1,2016-06-16,3,ALARM
117,2304528,2016-06-21 12:10:00,2016-06-21 12:10:00,0,1,3130,Pitch lubrication,1,2016-06-21,3,ALARM
118,2304528,2016-06-23 15:30:00,2016-06-23 15:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
119,2304528,2016-06-26 12:10:00,2016-06-26 12:10:00,0,1,3130,Pitch lubrication,1,2016-06-26,3,ALARM
120,2304528,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
121,2304529,2016-06-01 20:30:00,2016-06-01 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-01,3,ALARM
122,2304529,2016-06-03 05:30:00,2016-06-03 05:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-03,3,ALARM
123,2304529,2016-06-06 20:30:00,2016-06-06 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-06,3,ALARM
124,2304529,2016-06-11 20:30:00,2016-06-11 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-11,3,ALARM
125,2304529,2016-06-16 20:30:00,2016-06-16 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-16,3,ALARM
126,2304529,2016-06-21 20:30:00,2016-06-21 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-21,3,ALARM
127,2304529,2016-06-22 10:20:00,2016-06-22 13:20:00,180,19,1001,Unknown alarm,0,2016-06-22,2,ATTENTION
128,2304529,2016-06-23 13:40:00,2016-06-23 13:40:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
129,2304529,2016-06-26 20:30:00,2016-06-26 20:30:00,0,1,3130,Pitch lubrication,1,2016-06-26,3,ALARM
130,2304529,2016-06-30 05:00:00,2016-06-30 05:20:00,20,3,5113,Unknown alarm,0,2016-06-30,1,INFO
131,2304530,2016-06-04 18:30:00,2016-06-04 18:30:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-04,3,ALARM
132,2304530,2016-06-23 15:20:00,2016-06-23 15:20:00,0,1,10105,"Stopped, untwisting cables",1,2016-06-23,3,ALARM
133,2304530,2016-06-30 05:00:00,2016-06-30 05:10:00,10,2,5113,Unknown alarm,0,2016-06-30,1,INFO
